Ticker,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
MNDR,Mobile-health Network Solutions Class A Ordinary Shares,$1.39,-0.01,-0.714%,47260000.00,Singapore,2024,286367,Technology,Computer Software: Prepackaged Software
NYAX,Nayax Ltd. Ordinary Shares,$21.985,0.435,2.019%,732688291.00,Israel,,1440,Technology,Computer Software: Prepackaged Software
HUYA,HUYA Inc. American depositary shares each  representing one Class A ordinary share,$3.83,-0.05,-1.289%,892709303.00,United States,2018,975909,Technology,Computer Software: Programming Data Processing
TROO,TROOPS Inc. Ordinary Shares ,$1.80,0.20,12.50%,182876396.00,China,,14930,Technology,Radio And Television Broadcasting And Communications Equipment
SPI,SPI Energy Co. Ltd. Ordinary Shares,$0.4522,-0.0044,-0.964%,14290926.00,China,,16835,Technology,Semiconductors
FLUT,Flutter Entertainment plc Ordinary Shares,$181.01,-5.04,-2.709%,32061743970.00,,2024,762918,Technology,Computer Software: Programming Data Processing
SMTK,SmartKem Inc. Common Stock,$5.5252,0.00,0.00%,,United Kingdom,,279,Technology,Semiconductors
DOYU,DouYu International Holdings Limited ADS,$11.02,0.70,6.783%,348624025.00,China,2019,133364,Technology,Computer Software: Programming Data Processing
FAASW,DigiAsia Corp. Warrant,$0.07,0.0052,8.025%,4248429.00,United States,2021,291904,Technology,Computer Software: Prepackaged Software
SCWX,SecureWorks Corp. Class A Common Stock,$6.51,0.38,6.199%,575502892.00,United States,2016,23481,Technology,EDP Services
LNW,Light & Wonder Inc. Common Stock,$104.27,1.15,1.115%,9398660273.00,United States,,875092,Technology,EDP Services
SGMA,SigmaTron International Inc. Common Stock,$5.78,0.32,5.861%,35224985.00,United States,1994,55544,Technology,Electrical Products
ECXWW,ECARX Holdings Inc. Warrants,$0.0303,0.0034,12.639%,10239884.00,China,,17498,Technology,EDP Services
KTCC,Key Tronic Corporation Common Stock,$3.93,0.09,2.344%,42294153.00,United States,1983,14548,Technology,Electrical Products
GLW,Corning Incorporated Common Stock,$38.28,-1.49,-3.747%,32791383818.00,United States,,15865778,Technology,Industrial Machinery/Components
